Date,Temp
14-01-1990,15.8
15-01-1990,14.7
16-01-1990,10.7
17-01-1990,11.5
18-01-1990,15
19-01-1990,14.5
20-01-1990,14.5
21-01-1990,13.3
22-01-1990,14.3
23-01-1990,14.3
24-01-1990,20.5
25-01-1990,15
26-01-1990,17.1
27-01-1990,16.9
28-01-1990,16.9
29-01-1990,13.6
30-01-1990,16.4
31-01-1990,16.1
01-02-1990,12
02-02-1990,12.2
03-02-1990,14.8
04-02-1990,14.8
05-02-1990,14.4
06-02-1990,12.9
07-02-1990,13.4
08-02-1990,15.9
09-02-1990,16.1
10-02-1990,17.6
11-02-1990,15.6
12-02-1990,15
13-02-1990,13
14-02-1990,14.1
15-02-1990,17.3
16-02-1990,15.7
17-02-1990,18.6
18-02-1990,12.7
19-02-1990,14
20-02-1990,13.7
21-02-1990,16.3
22-02-1990,20
23-02-1990,17
24-02-1990,15.2
25-02-1990,16.5
26-02-1990,16.5
27-02-1990,17.3
28-02-1990,19.1
01-03-1990,19.3
02-03-1990,17.3
03-03-1990,19
04-03-1990,19.8
05-03-1990,19.3
06-03-1990,17.2
07-03-1990,14.2
08-03-1990,10.3
09-03-1990,13
10-03-1990,15.3
11-03-1990,15
12-03-1990,12.1
13-03-1990,9.2
14-03-1990,11
15-03-1990,15
16-03-1990,11.6
17-03-1990,11.6
18-03-1990,15.1
19-03-1990,15
20-03-1990,13.6
21-03-1990,12.5
22-03-1990,14.3
23-03-1990,16
24-03-1990,17.4
25-03-1990,16.9
26-03-1990,18
27-03-1990,20.6
28-03-1990,14.2
29-03-1990,10.9
30-03-1990,11.9
31-03-1990,13.3
01-04-1990,15.3
02-04-1990,14.7
03-04-1990,11
04-04-1990,12.2
05-04-1990,14.2
06-04-1990,17
07-04-1990,15.8
08-04-1990,15.2
09-04-1990,15.1
10-04-1990,14.7
11-04-1990,18.5
12-04-1990,16.4
13-04-1990,18.4
14-04-1990,15.1
15-04-1990,9.9
16-04-1990,10.2
17-04-1990,12.6
18-04-1990,13.2
19-04-1990,11.5
20-04-1990,13.8
21-04-1990,14.5
22-04-1990,14.7
23-04-1990,11.2
24-04-1990,12.7
25-04-1990,13.7
26-04-1990,11.5
27-04-1990,10.4
28-04-1990,8.9
29-04-1990,11.1
30-04-1990,9.5
01-05-1990,13
02-05-1990,13.9
03-05-1990,12.6
04-05-1990,14.3
05-05-1990,16
06-05-1990,13.3
07-05-1990,7
08-05-1990,4.9
09-05-1990,6.9
10-05-1990,13.7
11-05-1990,10.6
12-05-1990,12.3
13-05-1990,11.1
14-05-1990,10.2
15-05-1990,9.5
16-05-1990,8.9
17-05-1990,13.4
18-05-1990,9.1
19-05-1990,9.4
20-05-1990,8.7
21-05-1990,5.8
22-05-1990,4.5
23-05-1990,7.2
24-05-1990,10
25-05-1990,10.5
26-05-1990,10.7
27-05-1990,8.2
28-05-1990,6.1
29-05-1990,4.5
30-05-1990,6.1
31-05-1990,9.8
01-06-1990,9.7
02-06-1990,8.2
03-06-1990,8.4
04-06-1990,8.5
05-06-1990,10.4
06-06-1990,6.8
07-06-1990,6
08-06-1990,6.6
09-06-1990,7.8
10-06-1990,10.3
11-06-1990,7.2
12-06-1990,7.4
13-06-1990,11.4
14-06-1990,5.4
15-06-1990,4.4
16-06-1990,6.4
17-06-1990,9.3
18-06-1990,7.7
19-06-1990,8.1
20-06-1990,8.3
21-06-1990,9.1
22-06-1990,7.7
23-06-1990,10.6
24-06-1990,8.2
25-06-1990,7.9
26-06-1990,5.2
27-06-1990,5.9
28-06-1990,3.7
29-06-1990,5.6
30-06-1990,9.4
01-07-1990,7.4
02-07-1990,7.3
03-07-1990,7.7
04-07-1990,7.7
05-07-1990,9.3
06-07-1990,4.4
07-07-1990,5.7
08-07-1990,10.2
09-07-1990,10.2
10-07-1990,9.3
11-07-1990,5.4
12-07-1990,5
13-07-1990,7.6
14-07-1990,9.6
15-07-1990,10.4
16-07-1990,11.2
17-07-1990,9.1
18-07-1990,11.2
19-07-1990,6.8
20-07-1990,8.3
21-07-1990,9.7
22-07-1990,9.6
23-07-1990,9.8
24-07-1990,10.8
25-07-1990,9.2
26-07-1990,6.5
27-07-1990,8.1
28-07-1990,7.3
29-07-1990,7.9
30-07-1990,6
31-07-1990,5
01-08-1990,6.8
02-08-1990,9.8
03-08-1990,5.7
04-08-1990,8.6
05-08-1990,10.6
06-08-1990,7.8
07-08-1990,7.7
08-08-1990,8.6
09-08-1990,6.5
10-08-1990,6.9
11-08-1990,6.4
12-08-1990,8.5
13-08-1990,7.8
14-08-1990,9.3
15-08-1990,8.4
16-08-1990,7.8
17-08-1990,7.4
18-08-1990,7.7
19-08-1990,8.9
20-08-1990,9.7
21-08-1990,9.9
22-08-1990,6.1
23-08-1990,6.6
24-08-1990,7.6
25-08-1990,7.4
26-08-1990,8
27-08-1990,2.1
28-08-1990,5.9
29-08-1990,11.6
30-08-1990,8.6
31-08-1990,7.9
01-09-1990,6
02-09-1990,9.5
03-09-1990,8.6
04-09-1990,7.6
05-09-1990,10.4
06-09-1990,10.3
07-09-1990,7.5
08-09-1990,3
09-09-1990,5.3
10-09-1990,10.5
11-09-1990,14.6
12-09-1990,12.6
13-09-1990,9.8
14-09-1990,7.2
15-09-1990,10.1
16-09-1990,10.4
17-09-1990,3.7
18-09-1990,7.3
19-09-1990,11.6
20-09-1990,16.3
21-09-1990,9.6
22-09-1990,6.8
23-09-1990,5.2
24-09-1990,10.6
25-09-1990,16.3
26-09-1990,9.8
27-09-1990,4.6
28-09-1990,11.1
29-09-1990,8.7
30-09-1990,10
01-10-1990,11.3
02-10-1990,10.5
03-10-1990,9.9
04-10-1990,11
05-10-1990,14
06-10-1990,9.2
07-10-1990,9.8
08-10-1990,6
09-10-1990,9.8
10-10-1990,9.2
11-10-1990,11.8
12-10-1990,10.3
13-10-1990,7.5
14-10-1990,7.7
15-10-1990,15.8
16-10-1990,14.6
17-10-1990,10.5
18-10-1990,11.3
19-10-1990,10.9
20-10-1990,6.4
21-10-1990,10.9
22-10-1990,9
23-10-1990,10.9
24-10-1990,12.4
25-10-1990,11.6
26-10-1990,13.3
27-10-1990,14.4
28-10-1990,18.4
29-10-1990,13.6
30-10-1990,14.9
31-10-1990,14.8
01-11-1990,15.4
02-11-1990,11.8
03-11-1990,13
04-11-1990,11.1
05-11-1990,12.5
06-11-1990,18.3
07-11-1990,19.2
08-11-1990,15.4
09-11-1990,13.1
10-11-1990,11.5
11-11-1990,8.6
12-11-1990,12.6
13-11-1990,13.8
14-11-1990,14.6
15-11-1990,13.2
16-11-1990,12.3
17-11-1990,8.8
18-11-1990,10.7
19-11-1990,9.9
20-11-1990,8.3
21-11-1990,15
22-11-1990,12.2
23-11-1990,10.5
24-11-1990,11.1
25-11-1990,13
26-11-1990,12.9
27-11-1990,8.8
28-11-1990,14.7
29-11-1990,14.7
30-11-1990,12.7
01-12-1990,13.3
02-12-1990,13.2
03-12-1990,16.2
04-12-1990,17.3
05-12-1990,20.5
06-12-1990,20.2
07-12-1990,19.4
08-12-1990,15.5
09-12-1990,14.1
10-12-1990,11
11-12-1990,11.1
12-12-1990,14
13-12-1990,11.4
14-12-1990,12.5
15-12-1990,13.4
16-12-1990,13.6
17-12-1990,13.9
18-12-1990,17.2
19-12-1990,14.7
20-12-1990,15.4
21-12-1990,13.1
22-12-1990,13.2
23-12-1990,13.9
24-12-1990,10
25-12-1990,12.9
26-12-1990,14.6
27-12-1990,14
28-12-1990,13.6
29-12-1990,13.5
30-12-1990,15.7
31-12-1990,13
